city_name,country,latitude,longitude
Bangalore,India,12.9716,77.5946
Chennai,India,13.0827,80.2707
Mumbai,India,19.076,72.8777
Pune,India,18.5204,73.8567
Jaipur,India,26.9124,75.7873
Kochi,India,9.9312,76.2673
Hyderabad,India,17.385,78.4867
Amritsar,India,31.634,74.8723
Indore,India,22.7196,75.8577
Lucknow,India,26.8467,80.9462
Coimbatore,India,11.0168,76.9558
London,UK,51.5074,-0.1278
Birmingham,UK,52.4862,-1.8904
Singapore,Singapore,1.3521,103.8198
NewYork,USA,40.7128,-74.006
MexicoCity,Mexico,19.4326,-99.1332
HongKong,China,22.3193,114.1694
Dubai,UAE,25.2048,55.2708
AbuDhabi,UAE,24.4539,54.3773
Texas,USA,31.9686,-99.9018
California,USA,36.7783,-119.4179
Tokyo,Japan,35.6762,139.6503
Boston,USA,42.3601,-71.0589
Scranton,USA,41.4089,-75.6624
Chicago,USA,41.8781,-87.6298
